codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.1267,Sossego Forest Biological Station,2015-07-01,2019-06-20,2017-03-15
0000.00.1376,Serra das Almas Private Natural Heritage Reserve,2015-07-01,2019-06-20,2016-05-18
0000.00.1517,Alto Juruá Extractive Reserve,2015-07-01,2019-06-20,2016-06-22
0000.00.1518,Rio Cajari Extractive Reserve,2015-07-01,2019-06-20,2016-11-06
0000.00.1521,Mananciais do Rio Paraíba do Sul Environmental Protection Area,2015-07-01,2019-06-20,2016-10-02
0000.00.1563,Acaú-Goiana Extractive Reserve,2015-07-01,2019-06-20,2016-06-06
0000.00.1564,Chapada Limpa Extractive Reserve,2015-07-01,2019-06-20,2016-08-31
0000.00.1606,Médio Purus Extractive Reserve,2015-07-01,2019-06-20,2016-09-03
0000.00.1612,Iquiri National Forest,2015-07-01,2019-06-20,2016-06-02
0000.00.1626,Nascentes do Lago Jari National Park,2015-07-01,2019-06-20,2016-06-02
0000.00.1628,Ituxi Extractive Reserve,2015-07-01,2019-06-20,2016-08-30
0000.00.1633,Mapinguari National Park,2015-07-01,2019-06-20,2016-06-03
0000.00.1808,Cassurubá Extractive Reserve,2015-07-01,2019-06-20,2016-06-23
0000.00.1809,Prainha do Canto Verde Extractive Reserve,2015-07-01,2019-06-20,2016-09-10
0000.00.1812,Rio São Francisco Natural Monument,2015-07-01,2019-06-20,2016-05-21
0000.00.1813,Rio dos Frades Wildlife Refuge,2015-07-01,2019-06-20,2016-10-23
0000.00.1880,Una Wildlife Refuge,2015-07-01,2019-06-20,2016-10-23
0000.00.1907,Boa Nova Wildlife Refuge,2015-07-01,2019-06-20,2016-10-23
0000.00.1908,Boa Nova National Park,2015-07-01,2019-06-20,2016-06-10
0000.00.1909,Serra das Lontras National Park,2015-07-01,2019-06-20,2016-06-09
0000.00.1910,Alto Cariri National Park,2015-07-01,2019-06-20,2016-06-10
0000.00.1911,Santa Cruz Wildlife Refuge,2015-07-01,2019-06-20,2016-10-23
0000.00.1912,Costa das Algas Environmental Protection Area,2015-07-01,2019-06-20,2016-10-28
0000.00.2075,Buraco das Araras Private Natural Heritage Reserve,2015-07-01,2019-06-20,2016-05-09
0000.00.2093,Santa Cruz do Sul University Private Natural Heritage Reserve,2015-07-01,2019-06-20,2011-06-23
0000.00.2311,Sebuí Private Natural Heritage Reserve,2015-07-01,2019-06-20,2016-11-16
0000.00.2633,Furna Feia National Park,2015-07-01,2019-06-20,2012-06-06
0000.00.2634,Bom Jesus Biological Reserve,2015-07-01,2019-06-20,2016-06-06
0000.00.2874,Ilhas dos Currais Marine National Park,2015-07-01,2019-06-20,2016-06-22
0000.00.3131,Alto Maués Ecological Station,2015-07-01,2019-06-20,2016-05-22
0000.00.3132,Mocapajuba Marine Extractive Reserve,2015-07-01,2019-06-20,2016-09-10
0000.00.3133,Mestre Lucindo Marine Extractive Reserve,2015-07-01,2019-06-20,2016-09-11
0000.00.3134,Cuinarana Marine Extractive Reserve,2015-07-01,2019-06-20,2016-09-11
0000.00.3135,Nascentes Geraizeiras Sustainable Development Reserve,2015-07-01,2019-06-20,2016-06-16
0000.00.3136,Serra do Gandarela National Park,2015-07-01,2019-06-20,2016-06-12
0000.00.3137,Guaricana National Park,2015-07-01,2019-06-20,2016-06-16
0000.00.3407,Campos de Manicoré Environmental Protection Area,2015-07-01,2019-06-20,2016-06-13
0000.00.3408,Urupadi National Forest,2015-07-01,2019-06-20,2016-07-06
0000.00.3409,Aripuanã National Forest,2015-07-01,2019-06-20,2016-06-15
0000.00.3410,Acari National Park,2015-07-01,2019-06-20,2016-06-12
0000.00.3411,Manicoré Biological Reserve,2015-07-01,2019-06-20,2016-06-14
0000.11.0751,Massaranduba Extractive Reserve,2015-07-01,2019-06-20,2016-08-30
0000.11.0754,Aquariquara Extractive Reserve,2015-07-01,2019-06-20,2016-08-31
0000.11.0756,Seringueira Extractive Reserve,2015-07-01,2019-06-20,2016-06-07
0000.11.0758,Rio Madeira Sustainable Yield Forest,2015-07-01,2019-06-20,2016-09-05
0000.11.0760,Tucano State Forest,2015-07-01,2019-06-20,2016-10-13
0000.11.0764,Samuel Ecological Station,2015-07-01,2019-06-20,2016-05-15
0000.11.0765,Guajará-Mirim State Park,2015-07-01,2019-06-20,2016-07-31
0000.11.0767,Rio Ouro Preto Biological Reserve,2015-07-01,2019-06-20,2016-07-31
0000.11.0768,Serra dos Três Irmãos Ecological Station,2015-07-01,2019-06-20,2016-05-24
0000.11.0770,Traçadal Biological Reserve,2015-07-01,2019-06-20,2016-06-05
0000.11.0774,Serra dos Reis State Park,2015-07-01,2019-06-20,2016-08-07
0000.11.0775,Rio Cautário State Extractive Reserve,2015-07-01,2019-06-20,2016-09-15
0000.11.0776,Jaci Paraná Extractive Reserve,2015-07-01,2019-06-20,2016-10-30
0000.11.1495,Corumbiara State Park,2015-07-01,2019-06-20,2016-10-31
0000.12.0939,Chandless State Park,2015-07-01,2019-06-20,2016-06-18
0000.12.2041,Rio Liberdade State Forest,2015-07-01,2019-06-20,2016-07-01
0000.12.2044,Rio Gregório State Forest,2015-07-01,2019-06-20,2016-07-01
0000.12.2046,Mogno State Forest,2015-07-01,2019-06-20,2016-07-01
0000.12.2048,Antimary State Forest,2015-07-01,2019-06-20,2016-07-02
0000.13.0981,Amanã Sustainable Development Reserve,2015-07-01,2019-06-20,2016-05-05
0000.13.0982,Aripuanã Sustainable Development Reserve,2015-07-01,2019-06-20,2016-07-12
0000.13.0983,Bararati Sustainable Development Reserve,2015-07-01,2019-06-20,2016-10-13
0000.13.0985,Cujubim Sustainable Development Reserve,2015-07-01,2019-06-20,2016-07-25
0000.13.0986,Mamirauá Sustainable Development Reserve,2015-07-01,2019-06-20,2008-04-03
0000.13.0987,Piagaçu-Purus Sustainable Development Reserve,2015-07-01,2019-06-20,2016-08-20
0000.13.0988,Rio Amapá Sustainable Development Reserve,2015-07-01,2019-06-20,2016-09-02
0000.13.0989,Uacari Sustainable Development Reserve,2015-07-01,2019-06-20,2016-09-06
0000.13.0990,Uatumã Sustainable Development Reserve,2015-07-01,2019-06-20,2016-07-25
0000.13.0991,Catuá-Ipixuna Extractive Reserve,2015-07-01,2019-06-20,2016-08-30
0000.13.0992,Guariba Extractive Reserve,2015-07-01,2019-06-20,2016-07-24
0000.13.0993,Caverna do Maroaga Environmental Protection Area,2015-07-01,2019-06-20,2016-10-20
0000.13.0994,Rio Negro Right Bank Environmental Protection Area,2015-07-01,2019-06-20,2016-06-26
0000.13.0995,Rio Negro Left Bank Environmental Protection Area,2015-07-01,2019-06-20,2016-06-28
0000.13.0996,Rio Negro Left Bank Environmental Protection Area,2015-07-01,2019-06-20,2016-06-28
0000.13.0998,Apuí State Forest,2015-07-01,2019-06-20,2016-10-13
0000.13.0999,Aripuanã State Forest,2015-07-01,2019-06-20,2016-07-13
0000.13.1000,Manicoré State Forest,2015-07-01,2019-06-20,2016-07-12
0000.13.1001,Sucunduri State Forest,2015-07-01,2019-06-20,2016-07-11
0000.13.1002,Rio Urubu State Forest,2015-07-01,2019-06-20,2016-10-20
0000.13.1003,Maués State Forest,2015-07-01,2019-06-20,2016-10-29
0000.13.1004,Guariba State Park,2015-07-01,2019-06-20,2016-07-23
0000.13.1006,Rio Negro State Park South Section,2015-07-01,2019-06-20,2016-06-24
0000.13.1007,Rio Negro State Park North Section,2015-07-01,2019-06-20,2016-06-25
0000.13.1008,Serra do Aracá State Park,2015-07-01,2019-06-20,2016-06-23
0000.13.1009,Sucunduri State Park,2015-07-01,2019-06-20,2016-07-10
